,ID,review,polarity,division,translated_review
11,1916,accord work software no google spot not consider perfect sound good,0.77,positive,sesuai perangkat lunak kerja tidak ada tempat google tidak menganggap suara yang sempurna bagus
12,2797,act family member,0.0,neutral,bertindak sebagai anggota keluarga
13,169,actually earlier not recognise voice think device manufacture issue but one thing realise amazon far far better e commerce company currently present india mean put bad review consider unknowning fact language change device not aware get call ireland call centre ask issue trust guy really impress way amazon customer service representatives handle issue face issue regard voice recognition particular device request help customer care will amaze help later usagefrom amazon user bye bye flipkart,0.0663,positive,sebenarnya sebelumnya tidak mengenali suara berpikir masalah pembuatan perangkat tetapi satu hal menyadari amazon jauh lebih baik perusahaan e commerce saat ini hadir di india berarti menempatkan tinjauan buruk pertimbangkan fakta yang tidak diketahui perubahan bahasa perangkat tidak sadar dapatkan panggilan irlandia call center tanyakan masalah kepercayaan orang benar-benar mengesankan cara layanan pelanggan amazon perwakilan menangani masalah masalah wajah hal pengenalan suara permintaan perangkat tertentu bantuan layanan pelanggan akan memukau bantuan penggunaan nanti dari pengguna amazon bye bye flipkart
14,3597,actually pretty cool,0.3,positive,sebenarnya cukup keren
15,1273,acutally gift old lady fully amaze enjoy alot wonderful item must buy every household,0.525,positive,benar-benar hadiah wanita tua yang sangat takjub menikmati banyak barang bagus yang harus dibeli setiap rumah tangga
16,624,ad ability india not workinglets see gcompany need work,0.5,positive,kemampuan iklan india tidak berfungsi lihat gcompany butuh pekerjaan
17,3838,add feature otherwise good,0.6,positive,tambahkan fitur jika tidak bagus
18,778,add youtube music hungama music amazon music dont songs specially nunur bape dome jore song not play alexa add youtube music will,0.3571,positive,add youtube music hungama music amazon music dont songs khususnya nunur bape dome jore song not play alexa add youtube music will
19,2417,addictive,0.0,neutral,Ketagihan
20,478,ai improve things like google assistance like easy things google assistance nail but shop interlink amazon account useful,0.1778,positive,ai tingkatkan hal-hal seperti bantuan google seperti hal-hal mudah bantuan google kuku tetapi toko interlink akun amazon berguna
21,482,ai need improvement doent use google search doent recognise command quiet often animal sound need improvisation kid skills overall need updationvoice recognition n audio quality awesome pls update software,0.3333,positive,ai perlu perbaikan tidak menggunakan pencarian google tidak mengenali perintah tenang sering suara binatang perlu improvisasi keterampilan anak secara keseluruhan perlu pembaruan pengenalan suara n kualitas audio yang mengagumkan pls perbarui perangkat lunak
22,2609,ai not good play track alexa dont understand us properly voice recognition poor volume,-0.0625,negative,ai tidak bagus play track alexa tidak mengerti kami dengan benar pengenalan suara volume yang buruk
23,1847,ai system need improvement poor performance come song selection especially old hindi classic songs,-0.0333,negative,sistem ai perlu perbaikan kinerja yang buruk datanglah pemilihan lagu terutama lagu-lagu klasik hindi lama
24,509,aint responsive voice command quality sound reproduction accoustics subpar say least,0.1,positive,"kualitas perintah suara tidak responsif, reproduksi suara akustik di bawah standar, paling tidak"
25,2619,alag alag se bolate rahte hain kabhi kam sunti,0.0,neutral,alag alag se bolate rahte hain kabhi kam sunti
26,3777,alex bluetooth not work,0.0,neutral,alex bluetooth tidak berfungsi
27,2461,alexa,0.0,neutral,alexa
28,2782,alexa,0.0,neutral,alexa
29,3982,alexa,0.0,neutral,alexa
30,1297,alexa absolutely foolish recognise ask simple language sound good mic good but know worst,0.12,positive,alexa benar-benar bodoh mengenali meminta bahasa sederhana terdengar bagus mic bagus tapi tahu yang terburuk
31,1057,alexa absolutely wonder fast correct thr time witty really fascinate developers fit much humour plus voice always catch ones attention great device,0.4429,positive,"alexa benar-benar heran, cepat, tepat, waktu, cerdas, sangat menarik, pengembang, cocok dengan banyak humor, dan suara, selalu menarik perhatian, perangkat hebat"
32,3695,alexa act stupid,-0.8,negative,Alexa bertindak bodoh
33,1213,alexa always better google homebut miss thingsmicro usb internal power,0.25,positive,alexa selalu lebih baik google home tetapi kehilangan daya internal micro usb
34,3815,alexa always super,0.3333,positive,alexa selalu super
35,2487,alexa amaze,0.6,positive,alexa kagum
36,3949,alexa amaze,0.6,positive,alexa kagum
37,1828,alexa amaze say alexaand go make life easier lot,0.6,positive,alexa amaze katakan alexaand go buat hidup lebih mudah
38,3883,alexa amazingsound quality great,0.8,positive,alexa luar biasa kualitas suara bagus
39,2024,alexa amazingwe love,0.5,positive,alexa luar biasa kami cinta
40,3312,alexa app not available download connect,-0.2,negative,aplikasi alexa tidak tersedia unduh hubungkan
41,363,alexa app recognise device gen echo dot device frustating device properly configure play musics well but shutdown device need reconfigured,0.0,neutral,aplikasi alexa mengenali perangkat gen echo dot perangkat membuat frustrasi perangkat dengan benar mengonfigurasi putar musik dengan baik tetapi perangkat shutdown perlu dikonfigurasi ulang
42,3531,alexa awesome bcoz give quick response,0.6667,positive,alexa luar biasa bcoz memberikan respons cepat
43,3396,alexa awesome improvement but time cable conection not good,0.325,positive,peningkatan luar biasa alexa tetapi koneksi kabel waktu tidak bagus
44,1867,alexa bad,-0.7,negative,alexa buruk
45,433,alexa become family member even know sound quality ability integrate ones daily life home awesome info weather traffic snarl weve come depend bright new companion,0.4473,positive,alexa menjadi anggota keluarga bahkan tahu kemampuan kualitas suara mengintegrasikan kehidupan sehari-hari rumah info luar biasa lalu lintas cuaca menggeram kami datang tergantung teman baru yang cerah
46,2143,alexa become one family members really fun interactive go blindly,-0.1,negative,alexa menjadi satu anggota keluarga sangat menyenangkan interaktif pergi membabi buta
47,1623,alexa become part day night nice device google music play device love product,0.64,positive,alexa menjadi bagian siang malam perangkat bagus google music play device love product
48,1662,alexa best,1.0,positive,alexa terbaik
49,1392,alexa best product see long time recognise voice perfectly,0.65,positive,produk terbaik alexa melihat lama mengenali suara dengan sempurna
50,2312,alexa best undoubtedly,1.0,positive,alexa terbaik tidak diragukan lagi
51,3372,alexa best way transfer home smart home good sound quality hear senstivity great price,0.6229,positive,alexa best way transfer home smart home kualitas suara bagus mendengar sensitivitas harga bagus
52,1420,alexa better google assistant,0.5,positive,alexa asisten google yang lebih baik
53,3201,alexa cable not receive pack,0.0,neutral,kabel alexa tidak menerima paket
54,0,alexa can not hear start play,0.0,neutral,alexa tidak dapat mendengar mulai bermain
55,1046,alexa cant answer many thingsi dont find use except music player alarm,0.1875,positive,alexa tidak dapat menjawab banyak hal yang tidak saya gunakan kecuali alarm pemutar musik
56,1864,alexa change life completely thankyou alexa,0.1,positive,alexa mengubah hidup sepenuhnya terima kasih alexa
57,2575,alexa come indian languages like odia,-0.125,negative,alexa datang bahasa India seperti odia
58,3971,alexa cool give alexa,0.455,positive,alexa keren berikan alexa
59,1451,alexa could not voice recognitionproduct not goodplease confirm replacement statusi m wait days no response u r side,0.0,neutral,"alexa tidak dapat mengenali produk dengan suara tidak baik, harap konfirmasikan status penggantian, tunggu beberapa hari, tidak ada tanggapan dari pihak Anda"
60,3139,alexa cute but not smart cant answer query but cute though,0.2976,positive,alexa imut tapi tidak pintar tidak bisa menjawab pertanyaan tapi imut
61,1372,alexa device defective not respond complete installation process but device not work connect,0.0,neutral,perangkat alexa rusak tidak merespons proses instalasi lengkap tetapi perangkat tidak berfungsi terhubung
62,1230,alexa device good but bulb not much use without wifibulb work mobile data,0.1583,positive,perangkat alexa bagus tapi bohlam tidak banyak digunakan tanpa wifibulb bekerja data seluler
63,458,alexa device good wont say best sometimes doesnt recognize voice overall would say value money purchase offer get smart blub wipro free amazon sale,0.4629,positive,perangkat alexa bagus tidak akan mengatakan yang terbaik terkadang tidak mengenali suara secara keseluruhan akan mengatakan penawaran pembelian nilai uang dapatkan smart blub wipro penjualan amazon gratis
64,696,alexa device speaker remarkable function precisely error voice recognition sound device fabulous wont regret buy alexa device smart buy smart,0.3964,positive,speaker perangkat alexa fungsi yang luar biasa tepatnya kesalahan pengenalan suara perangkat suara yang luar biasa tidak akan menyesal membeli perangkat alexa pintar membeli pintar
65,128,alexa doesnt full feature struggle reminder reminder doesnt work doesnt remember play list doesnt store multiple play list face problem retrieve multiple playlist cldnt find multilanguage recognition featureskill eg tamil usual issue payondelivery courier show resistance pay delivery cash otherwise everything perfect quality delivery,0.22,positive,alexa tidak memiliki fitur lengkap pengingat pengingat perjuangan tidak berfungsi tidak ingat daftar putar tidak menyimpan beberapa daftar putar menghadapi masalah mengambil beberapa daftar putar cldnt menemukan fitur pengenalan multibahasa membunuh misalnya tamil masalah biasa pembayaran kurir pengiriman menunjukkan perlawanan membayar pengiriman uang tunai jika tidak semuanya pengiriman kualitas sempurna
66,2213,alexa doesnt respond correctly alwaysalso would love see youtube available,0.45,positive,alexa tidak merespon dengan benar selalu juga akan senang melihat youtube tersedia
67,1356,alexa doesnt understand command limit music options not much use,0.1095,positive,alexa tidak mengerti perintah batas pilihan musik tidak banyak digunakan
68,118,alexa doesnt understand command properlyi ask play sainyoo nee play sainya vei ask play play languages radio station dont understandit not able recognise wipro bulbi feed alexa want return back if possible,-0.0938,negative,alexa tidak mengerti perintah dengan benar saya bertanya bermain sainyoo nee bermain sainya vei bertanya bermain bermain bahasa stasiun radio tidak mengerti tidak dapat mengenali wipro bulbi feed alexa ingin kembali jika memungkinkan
69,1841,alexa dont understand indian regional languages,0.0,neutral,alexa tidak mengerti bahasa daerah india
70,1013,alexa dot good nice sound quality super bass super clierty but amazon service poor poor,0.1621,positive,alexa dot bagus kualitas suara bagus super bass super clierty tapi layanan amazon jelek jelek
71,1679,alexa dot mini like funny informative kind friendit available languagesbrilliant work amazon,0.4167,positive,"alexa dot mini seperti teman informatif yang lucu, bahasa yang tersedia, pekerjaan yang luar biasa, amazon"
72,505,alexa dumb compare google home think make mistake buy instead go ai assistant available market,-0.0333,negative,alexa bodoh membandingkan google home berpikir membuat kesalahan beli alih-alih pergi ai asisten pasar yang tersedia
73,1024,alexa dumb say something say something else play arjit singh songs will start songits irritatingi not enjoy please find solution intelligent,0.135,positive,alexa bodoh katakan sesuatu katakan sesuatu yang lain mainkan lagu arjit singh akan mulai lagunya menjengkelkan aku tidak menikmati tolong temukan solusi cerdas
74,419,alexa echo dot super smart sophisticate technologyif fire tv best control tv voice recognize voice perfetly also play many game best kid also buy smart light control voice almost every question ask also ask say story play music much,0.5327,positive,alexa echo dot super pintar teknologi canggihjika tv api kontrol terbaik tv suara mengenali suara dengan sempurna juga memainkan banyak permainan anak terbaik juga membeli suara kontrol lampu pintar hampir setiap pertanyaan tanyakan juga tanyakan katakan cerita mainkan musik banyak
75,254,alexa echo dot wipro smart bulb good combo offer get every one experience next generation intelligence alexa smart way control musiq sound light kid love ask many question alexa give answer,0.4198,positive,alexa echo dot wipro smart bulb penawaran kombo yang baik dapatkan setiap pengalaman generasi berikutnya kecerdasan alexa cara cerdas mengontrol suara musiq cahaya anak cinta bertanya banyak pertanyaan alexa memberikan jawaban
76,379,alexa echo not respond voice commandtill setup everything okbut not respond voice command,0.0,neutral,alexa echo tidak merespon perintah suara hingga mengatur semuanya ok tapi tidak merespon perintah suara
77,520,alexa echo value money lo use ask sing nursery rhyme stories hit,0.0,neutral,alexa echo value money lo use ask sing nursery rhyme stories hit
78,2035,alexa eco worth anyones buy try experience life,0.3,positive,"alexa eco layak dibeli siapa pun, coba pengalaman hidup"
79,1195,alexa flagship product amazon good product provide use fully,0.7,positive,produk unggulan alexa produk bagus amazon menyediakan penggunaan sepenuhnya
80,2353,alexa generation echo amaze great soundjust songs vocabulary require but good,0.65,positive,"alexa generation echo memukau lagu-lagu yang bagus, kosa kata yang dibutuhkan tetapi bagus"
81,2336,alexa generation worth buyingexcellenteasy accesssound goodkids will enjoy talk alexa,0.35,positive,"generasi alexa layak dibeli, akses mudah yang luar biasa, suara yang bagus, anak-anak yang baik akan menikmati pembicaraan alexa"
82,353,alexa go eat brain chatty mode nonworking brief mode tell play song get enjoy state song title singer name source amazon music aaple musicor jio saavn pretty annoy if ask refund initiate,-0.0375,negative,alexa pergi makan mode cerewet otak mode singkat yang tidak berfungsi beri tahu putar lagu dapatkan nikmati judul lagu negara bagian nama penyanyi sumber musik aaple musik aaple atau jio saavn cukup mengganggu jika meminta pengembalian dana mulai
83,110,alexa good bollywood hollywood songs come tollywood regions languages telugu tamil alexa not respond properly infact unable recognize telugu musicalbams need improve recognize regional languages,0.0958,positive,alexa lagu hollywood bollywood yang bagus datang bahasa daerah tollywood telugu tamil alexa tidak merespons dengan benar infact tidak dapat mengenali musik telugu perlu ditingkatkan mengenali bahasa daerah
84,1787,alexa good but not work hindi language but think dat not latest version alexa include hindi language kindly help kindly exchange if possible,0.48,positive,"alexa bagus tapi tidak berfungsi bahasa hindi tapi anggap itu bukan versi terbaru alexa termasuk bahasa hindi, mohon bantuannya, silakan bertukar jika memungkinkan"
85,2589,alexa good but sometime not command correctly,0.7,positive,alexa bagus tapi terkadang tidak memerintahkan dengan benar
86,2135,alexa good entertain voice recognition awesome totally worth money,0.6775,positive,"alexa, pengenalan suara hiburan yang bagus, luar biasa, benar-benar bernilai uang"
87,847,alexa good friend integration smooth good sound quality excellent one room enough easily installable,0.5167,positive,integrasi teman baik alexa halus kualitas suara bagus luar biasa satu ruangan cukup mudah dipasang
88,686,alexa good listen command things perfectly kid keep busy give star deduct star one con feltatleast give build nasty back work atleast hrs continuous power supply need,0.1383,positive,alexa baik mendengarkan perintah hal-hal dengan sempurna anak tetap sibuk memberikan bintang mengurangi bintang satu con merasa setidaknya memberikan membangun kembali bekerja buruk setidaknya jam kebutuhan catu daya terus menerus
89,1869,alexa good listen news music sound also good recive sound far also good must buy things,0.605,positive,"alexa baik mendengarkan berita, suara musik, juga menerima suara yang baik sejauh ini juga bagus harus membeli barang"
90,2734,alexa good product home sound quality superb,0.7,positive,alexa produk bagus kualitas suara rumah luar biasa
91,1959,alexa good quailty,0.7,positive,alexa kualitas bagus
92,4066,alexa good sound,0.655,positive,suara alexa bagus
93,1932,alexa good sound quality good function good boys good material user thank amazon thank,0.64,positive,alexa kualitas suara bagus fungsi bagus anak laki-laki baik pengguna materi bagus terima kasih amazon terima kasih
94,2059,alexa good sound quality nice voice recognition,0.5667,positive,alexa kualitas suara yang bagus pengenalan suara yang bagus
95,2403,alexa good thing will help us study good alexa will control full home want say alexa,0.7233,positive,alexa hal yang baik akan membantu kita belajar alexa yang baik akan mengontrol rumah penuh ingin mengatakan alexa
96,50,alexa good understand indian accent cover hindienglish language job voice assistant term manage devices around try control denon avr alexa basic task pay song change volume but cant change music mode etc similarly control airtel internet tv set top box settop box swith not swith offso get work do upto certain extend but not completelythe biggest problem see echo devices not get information web though connect internet always every thing need skillideally go web find basic answer instead say dont knowif anyone want use play music one best smart speaker available market give price,0.3229,positive,alexa dengan baik memahami aksen India penutup bahasa hindienglish pekerjaan asisten suara istilah mengelola perangkat di sekitar coba kontrol denon avr alexa tugas dasar bayar lagu ubah volume tetapi tidak dapat mengubah mode musik dll. perluasan tertentu tetapi tidak sepenuhnya masalah terbesar lihat perangkat gema tidak mendapatkan informasi web meskipun terhubung ke internet selalu setiap hal membutuhkan keterampilanidealnya buka web temukan jawaban dasar alih-alih katakan tidak tahu apakah ada yang ingin menggunakan putar musik satu speaker pintar terbaik yang tersedia pasar berikan harga
97,346,alexa good understand query well conversation mode need train alexayou change call sign alexa but options available buy rs go buy another,0.3667,positive,alexa baik memahami permintaan dengan baik mode percakapan perlu melatih alexaAnda mengubah tanda panggilan alexa tetapi opsi tersedia beli rs pergi beli yang lain
98,743,alexa good value money fun use use india make sure u select english india language relate conversations media content,0.375,positive,"alexa, nilai uang yang baik, penggunaan yang menyenangkan, gunakan india, pastikan Anda memilih bahasa inggris, bahasa india, berhubungan dengan konten media percakapan"
99,161,alexa great bedroom live room alexa work like magic also get light wifi enable wipro along alexa package work wonder usit understand hindi english also talk us alone lonelyyou also connect alexa mobile use bluetooth speaker true fact version plug time but apart great love true fan alexa,0.4875,positive,alexa kamar tidur yang bagus ruang tamu alexa bekerja seperti sulap juga mendapatkan wifi ringan aktifkan wipro bersama paket alexa bekerja heran kami mengerti hindi bahasa Inggris juga berbicara dengan kami sendiri kesepianAnda juga menghubungkan alexa ponsel menggunakan speaker bluetooth versi fakta sebenarnya waktu pasang tetapi selain cinta yang luar biasa penggemar sejati alexa
100,562,alexa grow child would like hold hand cuteq like alexaans sound quality glow lightbonus tip buy offer will beneficial,0.375,positive,alexa grow child ingin berpegangan tangan cuteq like alexaans kualitas suara glow lightbonus tip penawaran beli akan bermanfaat
101,2580,alexa helpful advance but effect enjoy if devices connect songs not find library need update frequently,0.375,positive,alexa membantu kemajuan tetapi efek nikmati jika perangkat menghubungkan lagu tidak menemukan perpustakaan perlu sering diperbarui
102,1435,alexa helpful play handsfree music joke remainder news update facts alexa skills add value product,0.35,positive,alexa membantu memainkan musik handsfree lelucon sisa berita pembaruan fakta keterampilan alexa menambah nilai produk
103,1718,alexa helpful product switch off power search voice anything play music,0.0,neutral,produk bermanfaat alexa matikan suara pencarian daya apa saja putar musik
104,15,alexa horribly wrong dumbi make mistake not buy google mini speakeralexa no answersit stupid speakeri know u need enable skills thathowever still bad assistantfully disssatisfiedaudio quality good but one buy simple bluetooth speaker cost rather mess ur mind incapable ai speaker can not answer questionsused fireststick limit usage limit appswill still need remote anyway not much useful firesticki strongly suggest please buy google home mini insteadaudio may bite less but google assistant amaze,-0.0797,negative,alexa sangat salah bodoh membuat kesalahan tidak membeli google mini speakeralexa tidak ada jawaban itu pembicara bodoh saya tahu Anda perlu mengaktifkan keterampilan yang bagaimanapun masih buruk asisten tidak puas kualitas audio bagus tapi satu membeli biaya speaker bluetooth sederhana agak mengacaukan pikiran Anda tidak mampu ai speaker tidak dapat menjawab pertanyaan digunakan fireststick batas penggunaan batas aplikasi akan masih perlu remote tetap tidak banyak berguna firesticki sangat menyarankan tolong beli google home mini bukan audio mungkin menggigit lebih sedikit tapi asisten google memukau
105,1594,alexa integration awesome configure home appliances itworth buy awesome sound quality,0.8,positive,"integrasi alexa, konfigurasi peralatan rumah yang luar biasa, layak untuk membeli kualitas suara yang luar biasa"
106,2937,alexa integration collect days but amount not credit amazon wallet please check reply,0.0,neutral,"integrasi alexa mengumpulkan hari tetapi jumlahnya bukan kredit dompet amazon, silakan periksa balasan"
107,2332,alexa integration good sound quality bluetooth connectivity also good,0.6,positive,integrasi alexa konektivitas bluetooth kualitas suara yang bagus juga bagus
108,908,alexa integration great voice recognition perfect sound quality awesome hall but best felt small size room must buy starter amazon smart speaker,0.5949,positive,integrasi alexa pengenalan suara yang bagus kualitas suara yang sempurna aula yang luar biasa tetapi ruang ukuran kecil yang paling terasa harus membeli speaker pintar amazon starter
109,3997,alexa integration greatspeaker sound quality great bluetooth connectivity also good,0.6333,positive,integrasi alexa kualitas suara speaker yang hebat konektivitas bluetooth yang bagus juga bagus
110,1048,alexa integration greatvoice recognition bad choice respond late not much farthersound quality seem good good pitch stabilizationwouldve great if wireless,0.1833,positive,"integrasi alexa pengenalan suara yang bagus, pilihan yang buruk, respons yang terlambat, tidak terlalu jauh, kualitas suara yang tampak bagus, stabilisasi nada yang bagus, akan bagus jika nirkabel"
111,570,alexa integration still pain sometimes doesnt hear us speak need talk loud phone integration still bad take time mins,-0.405,negative,integrasi alexa masih sakit terkadang tidak mendengar kita berbicara perlu bicara keras integrasi telepon masih buruk butuh waktu menit
112,2330,alexa integration voice recognition sound quality,0.4,positive,kualitas suara pengenalan suara integrasi alexa
113,634,alexa integration weak n also sound quality weak,-0.1542,negative,integrasi alexa lemah dan kualitas suara juga lemah
114,2155,alexa integration would one device bluetooth,0.25,positive,integrasi alexa akan satu perangkat bluetooth
115,4085,alexa integrationsound quality bluetooth connectivity besteven helpful sometimes,0.2,positive,integrasi alexa konektivitas bluetooth kualitas suara terbaik bahkan terkadang membantu
116,3449,alexa isnt connect bluetooth wifi connect but no internet available display please correct,0.4,positive,"alexa tidak terhubung bluetooth wifi terhubung tetapi tidak ada tampilan internet yang tersedia, tolong perbaiki"
117,1680,alexa isnt smart expect,0.2143,positive,alexa tidak pintar berharap
118,1742,alexa itergrationvoice recognition sound quality good also look pretty,0.52,positive,alexa itergrationpengenalan suara kualitas suara bagus juga terlihat cantik
119,2193,alexa learn day day behave like grow baby,0.0,neutral,alexa belajar hari hari berperilaku seperti tumbuh bayi
120,3040,alexa love,0.6,positive,cinta alexa
121,1642,alexa love u,0.5,positive,alexa mencintaimu
122,3271,alexa love u,0.5,positive,alexa mencintaimu
123,2972,alexa much rat want star,0.2,positive,alexa banyak tikus ingin bintang
124,154,alexa need real upgrade general echo dot gen poor voice recognition literally yell alexa listen crank volume change track anything whatsoever quite expectations since proudly fire stick even buy speaker buy mainly purpose favorite music could come handy still prefer play music tv speaker mean buy speaker if cant even play music without fuss overall big no highly disappoint,0.1508,positive,alexa perlu peningkatan nyata umum echo dot gen pengenalan suara yang buruk benar-benar berteriak alexa mendengarkan engkol volume ubah lacak apa pun yang cukup harapan karena dengan bangga tongkat api bahkan beli speaker beli terutama tujuan musik favorit bisa berguna masih lebih suka memutar musik speaker tv berarti membeli speaker jika tidak bisa mainkan musik tanpa repot secara keseluruhan besar tidak mengecewakan
125,1299,alexa new friend lockdown hear good music prime account,0.4182,positive,kuncian teman baru alexa dengarkan akun utama musik yang bagus
126,1293,alexa no loyalty ever ask respond no voice recognition sound quality excellent mainly depend hungama songs,0.5222,positive,"alexa tidak ada loyalitas yang pernah meminta, menanggapi, tidak ada pengenalan suara, kualitas suara yang sangat baik, terutama tergantung pada lagu hungama"
127,1485,alexa not able recognise voice time sound quality also puncture not decent experience,0.0222,positive,alexa tidak dapat mengenali suara waktu kualitas suara juga tusukan bukan pengalaman yang layak
128,1503,alexa not able understand hindii try settings but product not instal hindi language software not communicate hindi,-0.25,negative,alexa tidak dapat memahami hindii mencoba pengaturan tetapi produk tidak menginstal perangkat lunak bahasa hindi tidak berkomunikasi dengan hindi
129,3381,alexa not able understand language easily bluetooth connectivity poor,-0.1122,negative,alexa tidak dapat memahami bahasa dengan mudah konektivitas bluetooth buruk
130,3485,alexa not good,-0.35,negative,alexa tidak baik
131,1583,alexa not great voice interactive service like google improve good chatbot love volume kid njoying,0.4688,positive,"alexa bukan layanan interaktif suara yang bagus seperti google, tingkatkan chatbot yang bagus, volume cinta, anak-anak, bersenang-senang"
132,2640,alexa not helpful various command developers need upgrade skills command recognition,0.0,neutral,alexa tidak membantu berbagai pengembang perintah perlu meningkatkan pengenalan perintah keterampilan
133,1931,alexa not know everythingas say information topic coronait say sorry dont know thisjust link alexa google youtube,-0.5,negative,alexa tidak tahu segalanya seperti mengatakan topik informasi coronait minta maaf tidak tahu ini hanya tautan alexa google youtube
134,769,alexa not recognise voice respond instantly song go alexa deliver music newsseems problem device,0.0,neutral,alexa tidak mengenali suara merespons secara instan lagu pergi alexa mengirimkan berita musik tampaknya perangkat bermasalah
135,1430,alexa not respondingblue light show aroundcant even reset,0.4,positive,alexa tidak merespons tampilan lampu biru di sekitar bahkan tidak dapat direset
136,3120,alexa not work months purchase stop work,0.0,neutral,alexa tidak bekerja bulan pembelian berhenti bekerja
137,532,alexa not work respond command internet connection good stable suddenly happen days usage dont know please somebody help,0.35,positive,alexa tidak berfungsi merespon perintah koneksi internet stabil tiba-tiba terjadi penggunaan berhari-hari tidak tahu tolong seseorang tolong
138,3634,alexa not work tv,0.0,neutral,alexa tidak bekerja tv
139,857,alexa not workingno lead light workingalexa totaly stop need repair iti want service centre number,0.4,positive,"alexa tidak berfungsi, lampu utama tidak berfungsi, alexa berhenti total, perlu diperbaiki, saya ingin nomor pusat layanan"
140,184,alexa ok nice speaker n mic but not recommend itamazon executive contact help step connect wipro garnet appreciate take concern customer use alexa thank amazon,0.4333,positive,alexa ok speaker n mic yang bagus tetapi tidak merekomendasikan itamazon kontak eksekutif langkah bantuan sambungkan wipro garnet menghargai perhatian pelanggan menggunakan alexa terima kasih amazon
141,1758,alexa one best product amazonyou try iti feel utmost satisfiction product,1.0,positive,alexa one best product amazonyou try iti feel very satisfiction product
142,324,alexa one step get information whatever want voice recognition also good go sometimes confuse problem not wireless continously plug corner plus feature need upgradation eg maths calculation math calculations alexa couldnt overall satisfy product,0.12,positive,alexa satu langkah mendapatkan informasi apa pun yang ingin pengenalan suara juga bagus terkadang membingungkan masalah tidak nirkabel terus menerus pasang sudut plus fitur perlu ditingkatkan misalnya perhitungan matematika perhitungan matematika alexa tidak bisa secara keseluruhan memuaskan produk
143,2413,alexa opbut if want alexa buy black colouras colour tatti,-0.0972,negative,alexa opbut jika ingin alexa membeli warna hitam sebagai warna tatti
144,665,alexa overall good smart speakerbut time difficulty process voice commandssound output good,0.4561,positive,alexa secara keseluruhan speaker pintar yang bagus tetapi waktu kesulitan memproses perintah suara keluaran suara bagus
