,Sentence,Sentiment,Translated_Sentence
40,$TSLA recalling pretty much every single model X @cnnbrk got to short that even at work you jump in money trade,negative,$TSLA mengingat hampir semua model X @cnnbrk sampai pada kesimpulan bahwa bahkan di tempat kerja Anda melompat dalam perdagangan uang
41,"Dolce & Gabbana has asked the European Union to declare Marimekko Corporation 's `` Unikko '' floral pattern trademark invalid , in a continuing dispute between the two companies .",negative,"Dolce & Gabbana telah meminta Uni Eropa untuk menyatakan merek dagang ``Unikko' bermotif bunga Marimekko Corporation tidak valid, dalam perselisihan yang berlanjut antara kedua perusahaan tersebut."
42,InterContinental Hotels first-quarter global room revenue lags estimates,negative,Pendapatan kamar global kuartal pertama InterContinental Hotels tertinggal dari perkiraan
43,"According to Finnish pension insurance company Varma , Varma was the recipient of over two thirds of the revenue of the earnings-related pension cover that was under competitive tendering in Finland .",positive,"Menurut perusahaan asuransi pensiun Finlandia Varma , Varma adalah penerima lebih dari dua pertiga dari pendapatan pertanggungan pensiun terkait pendapatan yang berada di bawah tender kompetitif di Finlandia ."
44,"A portion , $ 12.5 million , will be recorded as part of its winnings in a prior patent dispute with Finnish phone maker Nokia Oyj .",positive,"Sebagian, $12,5 juta, akan dicatat sebagai bagian dari kemenangannya dalam sengketa paten sebelumnya dengan pembuat telepon Finlandia Nokia Oyj."
45,"L&G still paying price for dividend cut during crisis, chief says",negative,"L&G masih membayar harga untuk pemotongan dividen selama krisis, kata kepala"
46,The volume of investments in the two phases of the project is estimated at USD 300mn ( EUR 215.03 mn ) .,neutral,"Volume investasi dalam dua fase proyek ini diperkirakan mencapai USD 300 juta ( EUR 215,03 juta ) ."
47,"Russia accounted for 9 % of the Lagardere magazine division 's revenue , or EUR 114.40 mn ( USD 148.11 mn ) in 2009 , the USA - for 18 % .",neutral,"Rusia menyumbang 9% dari pendapatan divisi majalah Lagardere, atau EUR 114,40 juta (USD 148,11 juta) pada tahun 2009, AS - sebesar 18%."
48,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,positive,"Perusahaan juga memperkirakan investasi yang telah dilakukan akan mengarah pada peningkatan penjualan bersih untuk 2010 dari 2009 yang mencapai EUR 141,7 juta."
49,Profit of the accounting period was EUR 0.3 mn .,neutral,"Laba periode akuntansi adalah EUR 0,3 juta ."
50,"The six breweries recorded a 5.2 percent growth in domestic beer sales last year to 270.21 million liters , from 256.88 million liters sold in 2005 .",positive,"Keenam pabrik tersebut mencatat pertumbuhan 5,2 persen dalam penjualan bir domestik tahun lalu menjadi 270,21 juta liter, dari 256,88 juta liter yang terjual pada 2005."
51,"In August-October 2010 , the company 's result before taxes totalled EUR 9.6 mn , up from EUR 0.5 mn in the corresponding period in 2009 .",positive,"Pada bulan Agustus-Oktober 2010, hasil sebelum pajak perusahaan berjumlah EUR 9,6 juta, naik dari EUR 0,5 juta pada periode yang sama di tahun 2009 ."
52,"Systeemitiimi 's sales and project resources will also be strengthened , director Paul Skogberg said .",positive,"Penjualan Systeemitiimi dan sumber daya proyek juga akan diperkuat, kata direktur Paul Skogberg."
53,Tesco share price jumps as Q3 sales top estimates,positive,Harga saham Tesco melonjak karena perkiraan tertinggi penjualan Q3
54,The fine print is here .,neutral,Cetakan halus ada di sini.
55,The price for logs has clearly improved from 2009 and also the price of pulpwood has gone up .,positive,Harga kayu bulat jelas meningkat dari tahun 2009 dan juga harga kayu pulp naik.
56,"Thus , SysOpen Digia has , in accordance with Chapter 14 Section 21 of the Finnish Companies Act 29.9.1978 - 734 , obtained title to all the shares of Sentera that are to be redeemed .",neutral,"Dengan demikian, SysOpen Digia telah, sesuai dengan Bab 14 Bagian 21 dari Undang-Undang Perusahaan Finlandia 29.9.1978-734, memperoleh hak atas semua saham Sentera yang akan ditebus."
57,Diluted earnings per share ( EPS ) fell to EUR 0.63 from EUR 1.71 .,neutral,"Laba per saham (EPS) terdilusi turun menjadi EUR 0,63 dari EUR 1,71."
58,"At 3:37 p.m. Eastern time , a block of 2,400 contracts changed hands at a bid price of $ 0.45 .",neutral,"Pukul 15:37 Waktu bagian timur, blok 2.400 kontrak berpindah tangan dengan harga penawaran $0,45."
59,"Some of the most recent technology deliveries include refinery technology to Anrak Aluminium , an iron ore pelletizing plant to Tata Steel and iron ore sintering plants to Bhushan Steel .",neutral,"Beberapa pengiriman teknologi terbaru termasuk teknologi kilang ke Anrak Aluminium, pabrik pelet bijih besi ke Tata Steel dan pabrik sintering bijih besi ke Bhushan Steel."
60,$VIPS similar pattern like beginning of May. Did u sell? Same now..will go up much higher after this drop.,positive,$VIPS pola yang sama seperti awal Mei. Apakah kamu menjual? Sama sekarang..akan naik jauh lebih tinggi setelah penurunan ini.
61,The firm generated sales of 187 mln eur in 2005 .,neutral,Perusahaan tersebut menghasilkan penjualan sebesar 187 juta eur pada tahun 2005 .
62,"Stora Enso has also had meetings with the labor authorities , Employment and Economic Development Centres and representatives of the government in order to find solutions .",neutral,"Stora Enso juga telah mengadakan pertemuan dengan otoritas ketenagakerjaan, Pusat Pengembangan Ketenagakerjaan dan Ekonomi dan perwakilan pemerintah untuk mencari solusi."
63,AstraZeneca profit down as sales of stalwarts fade,negative,Laba AstraZeneca turun karena penjualan pendukung memudar
64,"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO  Crazy looking chart, but nearing breakout resistance line...",positive,"RT @andrewnyquist Chartology: Yahoo: http://stks.co/1itr $YHOO Grafik yang terlihat gila, tetapi mendekati garis resistance breakout..."
65,Most bullish stocks on Twitter during this dip. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY more: https://t.co/iuZJelfwt3,positive,Sebagian besar saham bullish di Twitter selama penurunan ini. $YHOO $GDX $GOOGL $STZ $GOLD $EW $VZ $CELG $SBUX $SCTY lainnya: https://t.co/iuZJelfwt3
66,"Finnish GeoSentric 's net sales decreased to EUR 939,000 in January-March 2009 .",negative,Penjualan bersih GeoSentric Finlandia turun menjadi EUR 939.000 pada Januari-Maret 2009 .
67,"Cohen & Steers , Inc. : 5 534 626 shares representing 4.985 % of the share capital and voting rights .",neutral,"Cohen & Steers, Inc.: 5 534 626 saham mewakili 4,985% dari modal saham dan hak suara."
68,More staff has been recruited in Japan to further complement its network of close to 50 service locations in more than 20 countries worldwide .,positive,Lebih banyak staf telah direkrut di Jepang untuk lebih melengkapi jaringannya di hampir 50 lokasi layanan di lebih dari 20 negara di seluruh dunia.
69,"Paper companies were in negative territories , with Stora Enso R shedding 1.62 pct to 12.73 eur , UPM-Kymmene down 0.80 pct at 18.64 eur and M-real B 0.18 pct lower at 5.57 eur .",neutral,"Perusahaan kertas berada di wilayah negatif, dengan Stora Enso R turun 1,62 persen menjadi 12,73 eur, UPM-Kymmene turun 0,80 persen pada 18,64 eur dan M-real B 0,18 persen lebih rendah pada 5,57 eur."
70,Kauko-Telko 's centralized administration will be dissolved and appropriate parts of it will be transferred to operating activities and Group administration by the end of the year .,neutral,Administrasi terpusat Kauko-Telko akan dibubarkan dan bagian yang sesuai akan dialihkan ke kegiatan operasi dan administrasi Grup pada akhir tahun.
71,Operating profit for the quarter April-June 2006 amounted to EUR182 .2 m on sales of EUR3 .62 bn .,neutral,"Laba operasional untuk kuartal April-Juni 2006 sebesar EUR182,2 m dari penjualan EUR3,62 miliar."
72,Atria chose the DeLight to attract consumers in the 25-45 age group to its Atria Fresh range of microwaveable meals .,neutral,Atria memilih DeLight untuk menarik konsumen dalam kelompok usia 25-45 tahun ke rangkaian makanan Atria Fresh yang dapat di-microwave.
73,"Finnish IT solutions provider Affecto Oyj HEL : AFE1V said today its slipped to a net loss of EUR 115,000 USD 152,000 in the second quarter of 2010 from a profit of EUR 845,000 in the corresponding period a year earlier .",neutral,Penyedia solusi IT Finlandia Affecto Oyj HEL ​​: AFE1V hari ini mengatakan kerugian bersihnya sebesar EUR 115.000 USD 152.000 pada kuartal kedua tahun 2010 dari laba sebesar EUR 845.000 pada periode yang sama tahun sebelumnya .
74,US sanctions put Gazprom-Shell alliance plans in jeopardy,negative,Sanksi AS membahayakan rencana aliansi Gazprom-Shell
75,"Profit for the period was EUR 10.9 mn , down from EUR 14.3 mn in 2009 .",neutral,"Laba untuk periode tersebut adalah EUR 10,9 juta , turun dari EUR 14,3 juta pada tahun 2009 ."
76,"Profit for the period was EUR 5.9 mn , up from EUR 1.3 mn .",positive,"Laba untuk periode tersebut adalah EUR 5,9 juta, naik dari EUR 1,3 juta."
77,Operating profit fell to EUR 20.3 mn from EUR 74.2 mn in the second quarter of 2008 .,neutral,"Laba operasional turun menjadi EUR 20,3 juta dari EUR 74,2 juta pada kuartal kedua tahun 2008 ."
78,"However , sales returned to growth in April-June 2010 , CEO Pekka Eloholma said .",positive,"Namun, penjualan kembali tumbuh pada April-Juni 2010, kata CEO Pekka Eloholma."
79,Operating profit totaled EUR 18.6 mn or 8.3 % of net sales .,neutral,"Laba operasional mencapai EUR 18,6 juta atau 8,3% dari penjualan bersih."
80,"Changes in the market situation and tougher price competition have substantially reduced demand for bread packaging manufactured at the Kauhava plant , according to the company .",negative,"Perubahan situasi pasar dan persaingan harga yang lebih ketat telah secara substansial mengurangi permintaan untuk kemasan roti yang diproduksi di pabrik Kauhava, menurut perusahaan tersebut."
81,"In connection with the deal , Digia will employ 19 persons from Nokia in Oslo and in Silicon Valley in the USA .",neutral,"Sehubungan dengan kesepakatan tersebut, Digia akan mempekerjakan 19 orang dari Nokia di Oslo dan di Silicon Valley di Amerika Serikat."
82,"The Brazilian unit of Finnish security solutions provider F-Secure signed up 1,500 new clients last year , online news source Reseller Web quoted the division 's commercial director , Vladimir Brand+úo , as saying .",positive,"Unit penyedia solusi keamanan Finlandia F-Secure Brasil mendaftarkan 1.500 klien baru tahun lalu, sumber berita online Reseller Web mengutip direktur komersial divisi tersebut, Vladimir Brand+úo, mengatakan."
83,The fair value of the company 's investment properties went down to EUR 2.768 billion at the end of 2009 from EUR 2.916 billion a year earlier .,neutral,"Nilai wajar properti investasi perusahaan turun menjadi EUR 2,768 miliar pada akhir tahun 2009 dari EUR 2,916 miliar setahun sebelumnya."
84,"Dealers said the share was largely hit by investor disappointment about a refining margin of just 9.48 usd per barrel for the quarter and the performance of its shipping unit , which saw EBIT drop to 5 mln eur from 20 mln eur a year amid a fall in volumes and tanker rates .",negative,"Para dealer mengatakan saham tersebut sebagian besar terpukul oleh kekecewaan investor tentang margin penyulingan hanya 9,48 dolar AS per barel untuk kuartal tersebut dan kinerja unit pengirimannya, yang melihat EBIT turun menjadi 5 juta euro dari 20 juta euro per tahun di tengah penurunan volume. dan tarif kapal tanker."
85,"` It is a testament to the quality of our LTE solution and our commitment to the Japanese market ' , he added .",neutral,"`Ini adalah bukti kualitas solusi LTE kami dan komitmen kami untuk pasar Jepang', tambahnya."
86,The companies ' aim is to finalize the negotiations and sign the contracts at the start of October 2008 .,neutral,Tujuan perusahaan adalah untuk menyelesaikan negosiasi dan menandatangani kontrak pada awal Oktober 2008 .
87,"Metso Foundries Jyvaskyla Oy will discontinue production on this line by 30 September 2008 , the company said .",neutral,"Metso Foundries Jyvaskyla Oy akan menghentikan produksi pada jalur ini pada tanggal 30 September 2008, kata perusahaan tersebut."
88,"A total six of the polled analysts rated M-real -- two gave `` buy '' - `` accumulate '' , three gave `` hold '' and only one gave `` sell '' .",neutral,"Sebanyak enam analis yang disurvei menilai M-real -- dua memberi `` beli '' - `` menumpuk '' , tiga memberi `` tahan '' dan hanya satu memberi `` menjual '' ."
89,"In September 2010 , the Finnish group agreed to buy Danish company Rose Poultry A-S for up to EUR23 .9 m in a combination of cash and stock .",positive,"Pada bulan September 2010, kelompok Finlandia setuju untuk membeli perusahaan Denmark Rose Poultry A-S hingga EUR23,9 m dalam kombinasi uang tunai dan saham."
90,$YANG Double bottom 5.2,positive,$YANG Double terbawah 5.2
91,Tesco share price down as grocer faces SFO investigation outcome,negative,Harga saham Tesco turun karena toko kelontong menghadapi hasil investigasi SFO
92,$aapl news is becoming very bullish again http://stks.co/tMU,positive,Berita $aapl menjadi sangat bullish lagi http://stks.co/tMU
93,"GS Engineering will install the valves at a liquefied natural gas LNG plant it has built for UAE LNG extraction and gas plants operator GASCO in Ruwais , UAE .",neutral,"GS Engineering akan memasang katup di kilang LNG gas alam cair yang telah dibangun untuk ekstraksi LNG UEA dan operator kilang gas GASCO di Ruwais, UEA."
94,The percentages of shares and voting rights have been calculated in proportion to the total number of shares registered with the Trade Register and the total number of voting rights related to them .,neutral,Persentase saham dan hak suara telah dihitung secara proporsional dengan jumlah saham yang terdaftar dalam Daftar Dagang dan jumlah hak suara yang terkait dengannya.
95,"M-Real said there are ` no grounds ' for the rumors , which ` have been circulating in the market for some months . '",neutral,"M-Real mengatakan 'tidak ada alasan' untuk rumor tersebut, yang telah beredar di pasar selama beberapa bulan. '"
96,"Lember said the matter was topical also in Estonia , where a bill has been drafted at the Social Affairs Ministry that would scrap old-age pensions on favorable conditions .",neutral,"Lember mengatakan masalah itu juga menjadi topik hangat di Estonia, di mana sebuah undang-undang telah dirancang di Kementerian Sosial yang akan menghapus pensiun hari tua dengan kondisi yang menguntungkan."
97,- Moody 's said it gave P A1 long-term senior unsecured and P P-1 short-term debt ratings to Finnish lender Aktia Bank 's EUR1bn USD1 .4 bn euro medium-term note EMTN program of 25 March 2011 .,neutral,"- Moody's mengatakan memberikan peringkat utang jangka pendek senior tanpa jaminan P A1 dan P P-1 kepada pemberi pinjaman Finlandia Aktia Bank's EUR1bn USD1,4 miliar euro program EMTN catatan jangka menengah 25 Maret 2011 ."
98,$TSLA recall,negative,penarikan $TSLA
99,"The liquidity providing was interrupted on May 11 , 2007 when Aspocomp Group Oyj 's shares traded below 0.50 cent ( Aspocomp 's stock exchange release 11.5.2007 ) .",neutral,"Penyediaan likuiditas terhenti pada 11 Mei 2007 ketika saham Aspocomp Group Oyj diperdagangkan di bawah 0,50 sen (rilis bursa Aspocomp 11.5.2007)."
100,Hargreaves Lansdown bucks weak markets to see assets rise 2.6 percent,positive,"Hargreaves Lansdown melawan pasar yang lemah untuk melihat aset naik 2,6 persen"
101,"At 12.59 pm , the OMX Helsinki 25 index was 0.32 pct lower at 2,694.81 .",negative,"Pada pukul 12.59 siang, indeks OMX Helsinki 25 turun 0,32 persen menjadi 2.694,81."
102,"The decision means temporary lay-offs of fixed duration at the company 's Nastola and Jyvaskyla units , in southern and central Finland , respectively .",neutral,"Keputusan itu berarti pemberhentian sementara dengan durasi tetap di unit perusahaan Nastola dan Jyvaskyla, di Finlandia selatan dan tengah, masing-masing."
103,The value of the orders is over EUR 10mn .,neutral,Nilai pesanan lebih dari EUR 10mn .
104,Ms Laakso will be responsible for HKScan 's HR functions and for their development in all of the Group ` smarket areas .,neutral,Ibu Laakso akan bertanggung jawab atas fungsi SDM HKScan dan pengembangannya di semua area pemasaran Grup.
105,"Fiskars is also engaged in the global supply of marine and energy equipment solutions and services through its associated company , Wartsila Corporation .",neutral,"Fiskars juga terlibat dalam pasokan global solusi dan layanan peralatan kelautan dan energi melalui perusahaan asosiasinya, Wartsila Corporation."
106,Aberdeen Asset Management Gains Foothold In China,positive,Aberdeen Asset Management Memperoleh Pijakan Di Tiongkok
107,Finland 's dominating rail company VR is planning to set the infected passengers for long-distance trip in a separate carriage .,neutral,Perusahaan kereta api VR yang mendominasi Finlandia berencana untuk mengatur penumpang yang terinfeksi untuk perjalanan jarak jauh di gerbong terpisah.
108,"In November , the Finnish government decreased its ownership in the company further to 31.1 percent from 38 percent .",neutral,"Pada November, pemerintah Finlandia menurunkan kepemilikannya di perusahaan itu lagi menjadi 31,1 persen dari 38 persen."
109,"Finnish Exel Composites , a technology company that designs , manufactures , and markets composite profiles and tubes for various industrial applications , reports its net sales decreased by 0.6 % in the second quarter of 2010 to EUR 19.2 mn from EUR 19.3 mn in the corresponding period in 2009 .",neutral,"Finlandia Exel Composites, sebuah perusahaan teknologi yang mendesain, memproduksi, dan memasarkan profil komposit dan tabung untuk berbagai aplikasi industri, melaporkan penjualan bersihnya turun 0,6% pada kuartal kedua tahun 2010 menjadi EUR 19,2 juta dari EUR 19,3 juta pada periode yang sama di 2009 ."
110,"Of Bavelloni 's and NST 's joint ventures , Bavelloni Tools , completes semiproducts that are produced in Italy into high-quality tools that will be sold under the DiaPol brand .",neutral,"Dari usaha patungan Bavelloni dan NST, Bavelloni Tools, melengkapi semiproduk yang diproduksi di Italia menjadi alat berkualitas tinggi yang akan dijual dengan merek DiaPol."
111,The tool is a patent pending design that allows consumers to lay out their entire project on a removable plate using multiple clear stamps of any kind .,neutral,Alat ini adalah desain paten tertunda yang memungkinkan konsumen untuk meletakkan seluruh proyek mereka di atas piring yang dapat dilepas menggunakan beberapa perangko yang jelas dalam bentuk apa pun.
112,$GOOGL is a short below 740 into the upper BB and is overbought,negative,$GOOGL adalah short di bawah 740 ke atas BB dan overbought
113,"LIGHTS OUT Before curfew , curl up with the latest bestseller and treat your eyes to the perfect reading light from Luceplan .",neutral,"LIGHTS OUT Sebelum jam malam , meringkuk dengan buku terlaris terbaru dan manjakan mata Anda dengan lampu baca yang sempurna dari Luceplan ."
114,"UPM-Kymmene Corp. , the world 's largest maker of magazine paper , on Tuesday reported a 19-percent profit drop as lower paper prices , higher costs and a strong euro hurt revenue .",negative,"UPM-Kymmene Corp , pembuat kertas majalah terbesar di dunia , pada hari Selasa melaporkan penurunan laba 19 persen karena harga kertas yang lebih rendah , biaya yang lebih tinggi dan euro yang kuat mengganggu pendapatan ."
115,The total value of the contract is some EUR 8 million .,neutral,Nilai total kontrak adalah sekitar EUR 8 juta.
116,"The prerequisite for inclusion in the program and for receipt of any gains is that key employees acquire Aspo shares to the amount determined by the Board in advance , in the maximum .",neutral,Prasyarat untuk dimasukkan ke dalam program dan untuk menerima keuntungan apa pun adalah bahwa karyawan kunci memperoleh saham Aspo dengan jumlah maksimum yang ditentukan sebelumnya oleh Dewan.
117,Mr. Doring has been with Eaton since 1989 and acted as the Business Unit Manager for Eaton 's Power Controls Business Unit since January 2007 .,neutral,Bapak Doring telah bergabung dengan Eaton sejak tahun 1989 dan bertindak sebagai Manajer Unit Bisnis untuk Unit Bisnis Kontrol Daya Eaton sejak Januari 2007 .
118,"The 250 sq m 2,691 sq ft store in Copenhagen 's premier shopping district was inaugurated today , further strengthening the company 's presence in Nordic capitals .",positive,"Toko seluas 250 meter persegi 2.691 kaki persegi di distrik perbelanjaan utama Kopenhagen diresmikan hari ini, semakin memperkuat kehadiran perusahaan di ibu kota Nordik."
