,Sentiment,Text,translated_text
41,positive,"Net income from life insurance rose to EUR 16.5 mn from EUR 14.0 mn , and net income from non-life insurance to EUR 22.6 mn from EUR 15.2 mn in 2009 .","Laba bersih dari asuransi jiwa naik menjadi EUR 16,5 juta dari EUR 14,0 juta , dan laba bersih dari asuransi non-jiwa menjadi EUR 22,6 juta dari EUR 15,2 juta di tahun 2009 ."
42,positive,"Nyrstar has also agreed to supply to Talvivaara up to 150,000 tonnes of sulphuric acid per annum for use in Talvivaara 's leaching process during the period of supply of the zinc in concentrate .",Nyrstar juga telah setuju untuk memasok ke Talvivaara hingga 150.000 ton asam sulfat per tahun untuk digunakan dalam proses pelindian Talvivaara selama periode pasokan seng dalam konsentrat.
43,positive,"Sales for both the Department Store Division and Hobby Hall increased by 7 % , while sales for the clothing store subsidiary Seppala decreased by 4 % .","Penjualan untuk Divisi Department Store dan Hobby Hall meningkat sebesar 7%, sedangkan penjualan untuk anak perusahaan toko pakaian Seppala turun sebesar 4%."
44,positive,Sales have risen in other export markets .,Penjualan telah meningkat di pasar ekspor lainnya.
45,positive,Sales increased due to growing market rates and increased operations .,Penjualan meningkat karena pertumbuhan harga pasar dan peningkatan operasi.
46,positive,The agreement strengthens our long-term partnership with Nokia Siemens Networks .,Perjanjian tersebut memperkuat kemitraan jangka panjang kami dengan Nokia Siemens Networks.
47,positive,"The agreement was signed with Biohit Healthcare Ltd , the UK-based subsidiary of Biohit Oyj , a Finnish public company which develops , manufactures and markets liquid handling products and diagnostic test systems .","Perjanjian tersebut ditandatangani dengan Biohit Healthcare Ltd, anak perusahaan Biohit Oyj yang berbasis di Inggris, sebuah perusahaan publik Finlandia yang mengembangkan, memproduksi dan memasarkan produk penanganan cairan dan sistem uji diagnostik."
48,positive,The company also estimates the already carried out investments to lead to an increase in its net sales for 2010 from 2009 when they reached EUR 141.7 million .,"Perusahaan juga memperkirakan investasi yang telah dilakukan akan mengarah pada peningkatan penjualan bersih untuk 2010 dari 2009 yang mencapai EUR 141,7 juta."
49,positive,"The company 's order book stood at 1.5 bln euro $ 2.2 bln on September 30 , 2007 , up by 24.2 pct on the year , with international orders amounting to 365 mln euro $ 534.3 mln .","Buku pesanan perusahaan mencapai 1,5 miliar euro $ 2,2 miliar pada 30 September 2007, naik 24,2 persen pada tahun itu, dengan pesanan internasional sebesar 365 juta euro $ 534,3 juta."
50,positive,"The company said that paper demand increased in all of its main markets , including of publication papers , and that it increased average paper prices by 4 percent compared with last year .","Perusahaan mengatakan bahwa permintaan kertas meningkat di semua pasar utamanya, termasuk kertas publikasi, dan menaikkan harga kertas rata-rata sebesar 4 persen dibandingkan dengan tahun lalu."
51,positive,"The world 's second largest stainless steel maker said net profit in the three-month period until Dec. 31 surged to euro603 million US$ 781 million , or euro3 .33 US$ 4.31 per share , from euro172 million , or euro0 .94 per share , the previous year .","Produsen baja nirkarat terbesar kedua di dunia itu mengatakan laba bersih dalam periode tiga bulan hingga 31 Desember melonjak menjadi euro603 juta US$781 juta, atau euro3,33 US$4,31 per saham, dari euro172 juta, atau euro0,94 per saham. berbagi, tahun sebelumnya."
52,positive,"Within the framework of the partnership , Nokia Siemens Networks has signed an initial framework purchase agreement with Sitronics subsidiary , JSC Mikron , which is the largest manufacturer and exporter of microelectronic components in Russia .","Dalam kerangka kemitraan, Nokia Siemens Networks telah menandatangani perjanjian pembelian kerangka kerja awal dengan anak perusahaan Sitronics, JSC Mikron, yang merupakan produsen dan pengekspor komponen mikroelektronika terbesar di Rusia."
53,positive,"Seppala 's revenue increased by 0.2 % to EUR10 .1 m. In Finland , revenue went down by 2.4 % to EUR6 .8 m , while sales abroad rose by 6.2 % to EUR3 .3 m. Sales increased in all the Baltic countries as well as in Russia and Ukraine .","Pendapatan Seppala meningkat 0,2% menjadi EUR10,1 juta. Di Finlandia, pendapatan turun 2,4% menjadi EUR6,8 juta, sementara penjualan di luar negeri naik 6,2% menjadi EUR3,3 juta. Penjualan meningkat di semua negara Baltik serta di Rusia dan Ukraina."
54,positive,"Shares of Standard Chartered ( STAN ) rose 1.2 % in the FTSE 100 , while Royal Bank of Scotland ( RBS ) shares rose 2 % and Barclays shares ( BARC ) ( BCS ) were up 1.7 % .","Saham Standard Chartered (STAN) naik 1,2% di FTSE 100, sementara saham Royal Bank of Scotland (RBS) naik 2% dan saham Barclays (BARC) (BCS) naik 1,7%."
55,positive,Shares of Nokia Corp. rose Thursday after the cell phone maker said its third-quarter earnings almost doubled and its share of the global handset market increased .,Saham Nokia Corp naik Kamis setelah pembuat ponsel mengatakan pendapatan kuartal ketiga hampir dua kali lipat dan pangsa pasar handset global meningkat.
56,positive,"In its financial report , published on Friday , SEB said its net profit soared to SEK6 .745 bn in 2010 from a year-earlier SEK1 .114 bn and proposed a 50 % dividend increase to SEK1 .50 per share .","Dalam laporan keuangannya, yang diterbitkan pada hari Jumat, SEB mengatakan laba bersihnya melonjak menjadi SEK6,745 miliar pada 2010 dari SEK1,114 miliar tahun sebelumnya dan mengusulkan peningkatan dividen 50% menjadi SEK1,50 per saham."
57,positive,Sales for the Department Store Division increased by 15 % and sales for the clothing store subsidiary Seppala increased by 8 % Meanwhile sales for Hobby Hall decreased by 12 % .,Penjualan untuk Divisi Department Store meningkat sebesar 15% dan penjualan untuk anak perusahaan toko pakaian Seppala meningkat sebesar 8% Sedangkan penjualan untuk Hobby Hall turun sebesar 12%.
58,neutral,"At the request of Finnish media company Alma Media 's newspapers , research manager Jari Kaivo-oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland 's national economy by using a model developed by the University of Denver .","Atas permintaan surat kabar perusahaan media Finlandia Alma Media, manajer riset Jari Kaivo-oja di Pusat Penelitian Berjangka Finlandia di Sekolah Ekonomi Turku telah menyusun skenario masa depan untuk ekonomi nasional Finlandia dengan menggunakan model yang dikembangkan oleh Universitas Denver."
59,neutral,"In Sweden , Gallerix accumulated SEK denominated sales were down 1 % and EUR denominated sales were up 11 % .","Di Swedia, akumulasi penjualan Gallerix dalam mata uang SEK turun 1% dan penjualan dalam mata uang EUR naik 11%."
60,neutral,The company supports its global customers in developing new technologies and offers a fast route from product development to applications and volume production .,Perusahaan mendukung pelanggan globalnya dalam mengembangkan teknologi baru dan menawarkan rute cepat dari pengembangan produk ke aplikasi dan produksi volume.
61,neutral,"When this investment is in place , Atria plans to expand into the Moscow market .","Ketika investasi ini dilakukan, Atria berencana untuk memperluas ke pasar Moskow."
62,neutral,"`` The new agreement is a continuation to theagreement signed earlier this year with the Lemminkainen Group , whereby Cramo acquired the entire construction machine fleet ofLemminkainen Talo Oy Ita - ja Pohjois Suomo , and signed asimilar agreement , '' said Tatu Hauhio , managing director ofCramo Finland .","`` Perjanjian baru ini merupakan kelanjutan dari perjanjian yang ditandatangani awal tahun ini dengan Lemminkainen Group , di mana Cramo mengakuisisi seluruh armada mesin konstruksi Lemminkainen Talo Oy Ita - ja Pohjois Suomo , dan menandatangani perjanjian serupa , '' kata Tatu Hauhio , direktur pelaksana Cramo . Finlandia."
63,positive,"At first the contract envisaged the construction of three ferryboats with an option for two more units , further confirmed at a total value of 500 mln euro ( $ 645.8 mln ) .","Pada awalnya kontrak membayangkan pembangunan tiga kapal feri dengan opsi untuk dua unit lagi, selanjutnya dikonfirmasi dengan nilai total 500 juta euro ($ 645,8 juta)."
64,neutral,"In June it sold a 30 percent stake to Nordstjernan , and the investment group has now taken up the option to acquire EQT 's remaining shares .","Pada bulan Juni, perusahaan itu menjual 30 persen sahamnya ke Nordstjernan, dan grup investasi itu kini telah mengambil opsi untuk mengakuisisi sisa saham EQT."
65,positive,"KESKO CORPORATION STOCK EXCHANGE RELEASE 28.02.2008 AT 09.30 1 ( 1 ) Kesko Corporation and Aspo plc today signed an agreement by which Aspo acquires the share capital of Kauko-Telko Ltd , a subsidiary wholly owned by Kesko .","KESKO CORPORATION RELEASE BURSA EFEK 28.02.2008 PUKUL 09.30 1 (1) Kesko Corporation dan Aspo plc hari ini menandatangani perjanjian dimana Aspo mengakuisisi modal saham Kauko-Telko Ltd, anak perusahaan yang sepenuhnya dimiliki oleh Kesko."
66,positive,Sponda Plc Stock Exchange Release 5 December 2006 at 15.45 EUR 1.5 BILLION SYNDICATED CREDIT FACILITY FOR SPONDA Sponda has signed an agreement for a one-year syndicated credit facility for a total of EUR 1.5 billion .,"Sponda Plc Stock Exchange Rilis 5 Desember 2006 pukul 15,45 EUR 1,5 MILIAR FASILITAS KREDIT SINDIKASI UNTUK SPONDA Sponda telah menandatangani perjanjian untuk fasilitas kredit sindikasi satu tahun dengan total EUR 1,5 miliar."
67,neutral,STOCK EXCHANGE ANNOUNCEMENT 20 July 2006 1 ( 1 ) BASWARE SHARE SUBSCRIPTIONS WITH WARRANTS AND INCREASE IN SHARE CAPITAL A total of 119 850 shares have been subscribed with BasWare Warrant Program .,PENGUMUMAN BURSA EFEK 20 Juli 2006 1 (1) PEMESANAN SAHAM BASWARE DENGAN JAMINAN DAN PENAMBAHAN MODAL SAHAM Sebanyak 119.850 saham telah diambil bagian dalam Program Waran BasWare.
68,positive,"The contract covers HDO platform , AC800 and CXE880 optical Fttb nodes designed to increase the forward and return path capacity of the transmission networks .","Kontrak tersebut mencakup platform HDO, node Fttb optik AC800 dan CXE880 yang dirancang untuk meningkatkan kapasitas jalur maju dan mundur dari jaringan transmisi."
69,neutral,The new plant is planned to have an electricity generation capacity of up to 350 megawatts ( MW ) and the same heat generation capacity .,Pembangkit baru ini direncanakan memiliki kapasitas pembangkit listrik hingga 350 megawatt (MW) dan kapasitas pembangkitan panas yang sama.
70,positive,"The OMX Helsinki 25 index was up 0.92 pct at 2,518.67 and the Helsinki CAP portfolio index was 0.91 pct higher at 4,711.19 .","Indeks OMX Helsinki 25 naik 0,92 persen pada 2.518,67 dan indeks portofolio CAP Helsinki naik 0,91 persen pada 4.711,19."
71,neutral,"- So , the sales growth of cars considerably influence on the tires market '' .","- Jadi , pertumbuhan penjualan mobil sangat mempengaruhi pasar ban '' ."
72,neutral,"A maximum of 666,104 new shares can further be subscribed for by exercising B options under the 2004 stock option plan .",Maksimal 666.104 saham baru dapat dipesan lebih lanjut dengan menggunakan opsi B berdasarkan rencana opsi saham 2004.
73,neutral,"As a result of the share issue , the number of the company 's shares increases by 391,630 shares and the share capital by a total of EUR 15,665.20 .","Sebagai hasil dari penerbitan saham tersebut, jumlah saham perusahaan meningkat sebesar 391.630 lembar saham dan modal saham sebesar EUR 15.665,20."
74,neutral,"Finnish real estate investor Sponda Plc said on Wednesday 12 March that it has signed agreements with Danske Bank A-S , Helsinki Branch for a 7-year EUR150m credit facility and with Ilmarinen Mutual Pension Insurance Company for a 7-year EUR50m credit facility .","Investor real estate Finlandia Sponda Plc mengatakan pada hari Rabu 12 Maret bahwa mereka telah menandatangani perjanjian dengan Danske Bank A-S, Cabang Helsinki untuk fasilitas kredit 7 tahun EUR150m dan dengan Ilmarinen Mutual Pension Insurance Company untuk fasilitas kredit EUR50m 7-tahun."
75,neutral,"On the route between Helsinki in Finland and Tallinn in Estonia , cargo volumes increased by 36 % , while cargo volumes between Finland and Sweden fell by 9 % .","Pada rute antara Helsinki di Finlandia dan Tallinn di Estonia, volume kargo meningkat sebesar 36%, sementara volume kargo antara Finlandia dan Swedia turun sebesar 9%."
76,neutral,"Other measures included increasing synergies and economies of scale within the Grimaldi Group and personnel adjustments , divestments and redelivery of excess tonnage .","Langkah-langkah lain termasuk meningkatkan sinergi dan skala ekonomi dalam Grup Grimaldi dan penyesuaian personel, divestasi dan pengiriman kembali kelebihan tonase."
77,positive,"Rinkuskiai raised the sales by 18.1 percent , to 1.37 million liters , while the sales of Kauno Alus grew by 14.3 percent , to 960,000 liters .","Rinkuskiai meningkatkan penjualan sebesar 18,1 persen menjadi 1,37 juta liter, sedangkan penjualan Kauno Alus tumbuh 14,3 persen menjadi 960.000 liter."
78,neutral,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc menjual saham Morning Digital Design Oy Perusahaan IT Finlandia TJ Group Plc mengatakan pada hari Jumat 7 April bahwa mereka telah menandatangani perjanjian penjualan saham Morning Digital Design Oy kepada Edita Oyj.
79,positive,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc sells stake in Morning Digital Design Oy Finnish IT company TJ Group Plc said on Friday 7 April that it had signed an agreement on selling its shares of Morning Digital Design Oy to Edita Oyj .,TELECOMWORLDWIRE-7 April 2006-TJ Group Plc menjual saham Morning Digital Design Oy Perusahaan IT Finlandia TJ Group Plc mengatakan pada hari Jumat 7 April bahwa mereka telah menandatangani perjanjian penjualan saham Morning Digital Design Oy kepada Edita Oyj.
80,neutral,"The 718,430 new Series A shares will become subject to trading on the Helsinki Stock Exchange 's Main List , together with the old Series A shares , on July 3 , 2006 .","718.430 saham Seri A baru akan diperdagangkan pada Daftar Utama Bursa Efek Helsinki, bersama dengan saham Seri A lama, pada tanggal 3 Juli 2006."
81,neutral,The fuel purchase contracts have been signed with three months ' delivery from this September to November .,Kontrak pembelian bahan bakar telah ditandatangani dengan pengiriman tiga bulan dari September hingga November ini.
82,neutral,Tiimari operates 194 stores in six countries -- including its core Finnish market -- and generated a turnover of 76.5 mln eur in 2005 .,"Tiimari mengoperasikan 194 toko di enam negara -- termasuk pasar utamanya di Finlandia -- dan menghasilkan omset 76,5 juta euro pada tahun 2005 ."
83,positive,Under this agreement Biohit becomes a focus supplier of pipettors and disposable pipettor tips to VWR customers throughout Europe .,Berdasarkan perjanjian ini Biohit menjadi pemasok fokus pipettor dan tip pipettor sekali pakai untuk pelanggan VWR di seluruh Eropa.
